PE Product No.;Product No.;Description;Category
PE92048041-RC;9204-8041-RC;U2 Bipolar case;Bipolar II
PE15034338-RB;1503-4338-RB;U2 Bipolar Trial, Ø 38 mm, ID22 mm;Bipolar II
PE15034339-RB;1503-4339-RB;U2 Bipolar Trial, Ø 39 mm, ID22 mm;Bipolar II
PE15034340-RB;1503-4340-RB;U2 Bipolar Trial, Ø 40 mm, ID22 mm;Bipolar II
PE15034341-RB;1503-4341-RB;U2 Bipolar Trial, Ø 41 mm, ID22 mm;Bipolar II
PE15034342-RB;1503-4342-RB;U2 Bipolar Trial, Ø 42 mm, ID22 mm;Bipolar II
PE15034041;1503-4041;U2 Bipolar Trial, Ø 41 mm, ID26 mm;Bipolar II
PE15034042;1503-4042;U2 Bipolar Trial, Ø 42 mm, ID26 mm;Bipolar II
PE15034143;1503-4143;U2 Bipolar Trial, Ø 43 mm, ID28 mm;Bipolar II
PE15034144;1503-4144;U2 Bipolar Trial, Ø 44 mm, ID28 mm;Bipolar II
PE15034145;1503-4145;U2 Bipolar Trial, Ø 45 mm, ID28 mm;Bipolar II
PE15034146;1503-4146;U2 Bipolar Trial, Ø 46 mm, ID28 mm;Bipolar II
PE15034147;1503-4147;U2 Bipolar Trial, Ø 47 mm, ID28 mm;Bipolar II
PE15034148;1503-4148;U2 Bipolar Trial, Ø 48 mm, ID28 mm;Bipolar II
PE15034149;1503-4149;U2 Bipolar Trial, Ø 49 mm, ID28 mm;Bipolar II
PE15034150;1503-4150;U2 Bipolar Trial, Ø 50 mm, ID28 mm;Bipolar II
PE15034151;1503-4151;U2 Bipolar Trial, Ø 51 mm, ID28 mm;Bipolar II
PE15034152;1503-4152;U2 Bipolar Trial, Ø 52 mm, ID28 mm;Bipolar II
PE15034153;1503-4153;U2 Bipolar Trial, Ø 53 mm, ID28 mm;Bipolar II
PE15034154;1503-4154;U2 Bipolar Trial, Ø 54 mm, ID28 mm;Bipolar II
PE15034155;1503-4155;U2 Bipolar Trial, Ø 55 mm, ID28 mm;Bipolar II
PE15034156;1503-4156;U2 Bipolar Trial, Ø 56 mm, ID28 mm;Bipolar II
PE92041004;9204-1004;Bipolar trial handle;Bipolar II
PE92041222-RB;9204-1222-RB;Femoral head impactor;Bipolar II
PE12062122-RB;1206-2122-RB;U2 Femoral head trial, Ø22mm, +0mm;Bipolar II
PE12062322-RB;1206-2322-RB;U2 Femoral head trial, Ø22mm, +3mm;Bipolar II
PE12062522-RB;1206-2522-RB;U2 Femoral head trial, Ø22mm, +6mm;Bipolar II
PE12062722-RB;1206-2722-RB;U2 Femoral head trial, Ø22mm, +9mm;Bipolar II
PE92035022;9203-5022;Head remover, φ22mm;Bipolar II
PE92035026;9203-5026;Head remover, φ26mm;Bipolar II
PE92035028;9203-5028;Head remover, φ28mm;Bipolar II
PE92038310;9203-8310;U2 Acetabular case;U2 CUP
PE13062044;1306-2044;Acetabular cup trial, 44mm;U2 CUP
PE13062046;1306-2046;Acetabular cup trial, 46mm;U2 CUP
PE13062048;1306-2048;Acetabular cup trial, 48mm;U2 CUP
PE13062050;1306-2050;Acetabular cup trial, 50mm;U2 CUP
PE13062052;1306-2052;Acetabular cup trial, 52mm;U2 CUP
PE13062054;1306-2054;Acetabular cup trial, 54mm;U2 CUP
PE13062056;1306-2056;Acetabular cup trial, 56mm;U2 CUP
PE13062058;1306-2058;Acetabular cup trial, 58mm;U2 CUP
PE13062060;1306-2060;Acetabular cup trial, 60mm;U2 CUP
PE13062062;1306-2062;Acetabular cup trial, 62mm;U2 CUP
PE13062064;1306-2064;Acetabular cup trial, 64mm;U2 CUP
PE13062066;1306-2066;Acetabular cup trial, 66mm;U2 CUP
PE13062068;1306-2068;Acetabular cup trial, 68mm;U2 CUP
PE13062070;1306-2070;Acetabular cup trial, 70mm;U2 CUP
PE14032044;1403-2044;XPE cup liner trial, ID 28mm, 10°x44mm;U2 CUP
PE14032046;1403-2046;XPE cup liner trial, ID 28mm, 10°x46mm;U2 CUP
PE14032048;1403-2048;XPE cup liner trial, ID 28mm, 10°x48mm;U2 CUP
PE14032250;1403-2250;XPE cup liner trial, ID 32mm, 10°x50mm;U2 CUP
PE14032252;1403-2252;XPE cup liner trial, ID 32mm, 10°x52mm;U2 CUP
PE14032654;1403-2654;XPE cup liner trial, ID 36mm, 10°x54mm;U2 CUP
PE14032656;1403-2656;XPE cup liner trial, ID 36mm, 10°x56mm;U2 CUP
PE14032658;1403-2658;XPE cup liner trial, ID 36mm, 10°x58mm;U2 CUP
PE14032660;1403-2660;XPE cup liner trial, ID 36mm, 10°x60mm;U2 CUP
PE14032662;1403-2662;XPE cup liner trial, ID 36mm, 10°x62mm;U2 CUP
PE14032664*;1403-2664;XPE cup liner trial, ID 36mm, 10°x64mm;U2 CUP
PE14032666*;1403-2666;XPE cup liner trial, ID 36mm, 10°x66mm;U2 CUP
PE14032668*;1403-2668;XPE cup liner trial, ID 36mm, 10˚x68mm;U2 CUP
PE14032670*;1403-2670;XPE cup liner trial, ID 36mm, 10˚x70mm;U2 CUP
PE92012201-RB;9201-2201-RB;Drill guide;U2 CUP
PE92015103;9201-5103;Cup liner extractor;U2 CUP
PE92014201;9201-4201;Straight drill;U2 CUP
PE92017101-RA;9201-7101-RA;Depth gauge;U2 CUP
PE92031126;9203-1126;Full PE aceta. cup locator, 26mm, 20°hooded;U2 CUP
PE92031201-RA;9203-1201-RA;Cup reamer handle;U2 CUP
PE92034042;9203-4042;Cup reamer, 42mm;U2 CUP
PE92034044;9203-4044;Cup reamer, 44mm;U2 CUP
PE92034046;9203-4046;Cup reamer, 46mm;U2 CUP
PE92034048;9203-4048;Cup reamer, 48mm;U2 CUP
PE92034050;9203-4050;Cup reamer, 50mm;U2 CUP
PE92034052;9203-4052;Cup reamer, 52mm;U2 CUP
PE92034054;9203-4054;Cup reamer, 54mm;U2 CUP
PE92034055;9203-4055;Cup reamer, 55mm;U2 CUP
PE92034056;9203-4056;Cup reamer, 56mm;U2 CUP
PE92034058;9203-4058;Cup reamer, 58mm;U2 CUP
PE92034060;9203-4060;Cup reamer, 60mm;U2 CUP
PE92034062;9203-4062;Cup reamer, 62mm;U2 CUP
PE92034064;9203-4064;Cup reamer, 64mm;U2 CUP
PE92034066;9203-4066;Cup reamer, 66mm;U2 CUP
PE92034068;9203-4068;Cup reamer, 68mm;U2 CUP
PE92034070;9203-4070;Cup reamer, 70mm;U2 CUP
PE92034115;9203-4115;Flexible drill, 15mm;U2 CUP
PE92034125-RA;9203-4125-RA;Flexible drill, 25mm;U2 CUP
PE92045802;9204-5802;Size plate, XPE hip;U2 CUP
PE92061103-RG;9206-1103-RG;Cup impactor;U2 CUP
PE92061112;9206-1112;Universal handle, long;U2 CUP
PE92061113;9206-1113;Straight screw driver;U2 CUP
PE92061114;9206-1114;Universal screw driver;U2 CUP
PE92065028;9206-5028;Liner impactor, 28mm;U2 CUP
PE92065032;9206-5032;Liner impactor, 32mm;U2 CUP
PE92065036;9206-5036;Liner impactor, 36mm;U2 CUP
PE92065102;9206-5102;Alignment tower, lateral;U2 CUP
PE92065104;9206-5104;Alignment rod;U2 CUP
PE92065106;9206-5106;Screw forceps;U2 CUP
PE97211041-RB;9721-1041-RB;Ratcheting handle;U2 CUP
PE91048120;9104-8120;U2 Stem case;U2 STEM
PE91043008;9104-3008;U2 Stem reamer, Ø8mm;U2 STEM
PE91043009;9104-3009;U2 Stem reamer, Ø9mm;U2 STEM
PE91043010;9104-3010;U2 Stem reamer, Ø10mm;U2 STEM
PE91043011;9104-3011;U2 Stem reamer, Ø11mm;U2 STEM
PE91043012;9104-3012;U2 Stem reamer, Ø12mm;U2 STEM
PE91043013;9104-3013;U2 Stem reamer, Ø13mm;U2 STEM
PE91043014;9104-3014;U2 Stem reamer, Ø14mm;U2 STEM
PE91043015;9104-3015;U2 Stem reamer, Ø15mm;U2 STEM
PE91042011;9104-2011;Osteotomy guide, #1;U2 STEM
PE91042012;9104-2012;Osteotomy guide, #2-#7;U2 STEM
PE91046000-RC;9104-6000-RC;U2 Broach, #0;U2 STEM
PE91046010-RC;9104-6010-RC;U2 Broach, #1;U2 STEM
PE91046020-RC;9104-6020-RC;U2 Broach, #2;U2 STEM
PE91046030-RC;9104-6030-RC;U2 Broach, #3;U2 STEM
PE91046040-RC;9104-6040-RC;U2 Broach, #4;U2 STEM
PE91046050-RC;9104-6050-RC;U2 Broach, #5;U2 STEM
PE91046060-RC;9104-6060-RC;U2 Broach, #6;U2 STEM
PE91046070-RC;9104-6070-RC;U2 Broach, #7;U2 STEM
PE91045001-RB;9104-5001-RB;Neck trial, #0;U2 STEM
PE91045002-RB;9104-5002-RB;Neck trial, #1, #2;U2 STEM
PE91045003-RB;9104-5003-RB;Neck trial, #3, #4;U2 STEM
PE91045004-RB;9104-5004-RB;Neck trial, #5;U2 STEM
PE91045005-RB;9104-5005-RB;Neck trial, #6, #7;U2 STEM
PE91048110-RA;9104-8110-RA;U2 Hip Basic Case;U2 Hip Basic
PE12062122-RB;1206-2122-RB;U2 Femoral head trial, Ø22mm, +0mm;U2 Hip Basic
PE12062322-RB;1206-2322-RB;U2 Femoral head trial, Ø22mm, +3mm;U2 Hip Basic
PE12062522-RB;1206-2522-RB;U2 Femoral head trial, Ø22mm, +6mm;U2 Hip Basic
PE12062722-RB;1206-2722-RB;U2 Femoral head trial, Ø22mm, +9mm;U2 Hip Basic
PE12062026-RB;1206-2026-RB;U2 Femoral Head Trial, Ø 26 mm, -2 mm;U2 Hip Basic
PE12062126-RB;1206-2126-RB;U2 Femoral Head Trial, Ø 26 mm, +0 mm;U2 Hip Basic
PE12062326-RB;1206-2326-RB;U2 Femoral Head Trial, Ø 26 mm, +3 mm;U2 Hip Basic
PE12062526-RB;1206-2526-RB;U2 Femoral Head Trial, Ø 26 mm, +6 mm;U2 Hip Basic
PE12062726-RB;1206-2726-RB;U2 Femoral Head Trial, Ø 26 mm, +9 mm;U2 Hip Basic
PE12062028-RB;1206-2028-RB;U2 Femoral Head Trial, Ø 28 mm, -3 mm;U2 Hip Basic
PE12062128-RB;1206-2128-RB;U2 Femoral Head Trial, Ø 28 mm, +0 mm;U2 Hip Basic
PE12062428-RB;1206-2428-RB;U2 Femoral Head Trial, Ø 28 mm, +5 mm;U2 Hip Basic
PE12062828-RB;1206-2828-RB;U2 Femoral Head Trial, Ø 28 mm, +10 mm;U2 Hip Basic
