PE Product No.;Product No.;Description;Category
PE93048110;9304-8110;U2 Knee AiO femur case;AiO 1.5 Inset
PE93043001;9304-3001;Step drill, Ø8mm;AiO 1.5 Inset
PE93043001-RA;9304-3001-RA;Step Drill, Ø 8 mm, 240 mm;AiO 1.5 Inset
PE93042001-RB;9304-2001-RB;Femoral chamfer resection guide, #1;AiO 1.5 Inset
PE93042002-RB;9304-2002-RB;Femoral chamfer resection guide, #2;AiO 1.5 Inset
PE93042003-RB;9304-2003-RB;Femoral chamfer resection guide, #3;AiO 1.5 Inset
PE93042004-RB;9304-2004-RB;Femoral chamfer resection guide, #4;AiO 1.5 Inset
PE93042005-RB;9304-2005-RB;Femoral chamfer resection guide, #5;AiO 1.5 Inset
PE93042006-RB;9304-2006-RB;Femoral chamfer resection guide, #6;AiO 1.5 Inset
PE93042007-RB;9304-2007-RB;Femoral chamfer resection guide, #7;AiO 1.5 Inset
PE93043002;9304-3002;Femoral IM rod, 400mm;AiO 1.5 Inset
PE93045301;9304-5301;Gap spacer, 1mm;AiO 1.5 Inset
PE93045302;9304-5302;Gap spacer, 2mm;AiO 1.5 Inset
PE94032202;9403-2202;Alignment rod;AiO 1.5 Inset
PE93045101;9304-5101;Femoral driver;AiO 1.5 Inset
PE93035710;9305-5710;Femoral driver;AiO 1.5 Inset
PE93041103;9304-1103;Modular handle;AiO 1.5 Inset
PE93042101;9304-2101;Femoral IM alignment guide;AiO 1.5 Inset
PE93045106-RA;9304-5106-RA;Pin extractor;AiO 1.5 Inset
PE93045108-RB;9304-5108-RB;Femoral chamfer resection guide extractor;AiO 1.5 Inset
PE93047101;9304-7101;Femoral sizer-A/P resection guide;AiO 1.5 Inset
PE93047102;9304-7102;Femoral stylus;AiO 1.5 Inset
PE93041102;9304-1102;Screw driver;AiO 1.5 Inset
PE93045107;9304-5107;Head pin impactor;AiO 1.5 Inset
PE93041101;9304-1101;IM Rod handle;AiO 1.5 Inset
PE93042102;9304-2102;Distal femoral alignment guide;AiO 1.5 Inset
PE93042000;9304-2000;Distal femoral resection guide;AiO 1.5 Inset
PE93042103;9304-2103;EM Alignment tower;AiO 1.5 Inset
PE93043100;9304-3100;Drill, 3.2mm;AiO 1.5 Inset
PE93033206;9303-3206;Femoral Condyle Drill;AiO 1.5 Inset
PE94043201;9404-3201;Onset patellar peg drill;AiO 1.5 Inset
PE94015121;9401-5121;Patellar drill;AiO 1.5 Inset
PE93047000;9304-7000;Resection check blade;AiO 1.5 Inset
PE93043003;9304-3003;Threaded pin, 30mm;AiO 1.5 Inset
PE93043004;9304-3004;Threaded pin, 50mm;AiO 1.5 Inset
PE93045105;9304-5105;Quick pin driver;AiO 1.5 Inset
PE93043005;9304-3005;Round pin, 75mm;AiO 1.5 Inset
PE93013217;9301-3217;Head pin, 20mm;AiO 1.5 Inset
PE93048130;9304-8130;U2 Knee AiO tibia and inset patella case;AiO 1.5 Inset
PE94042001;9404-2001;Tibial resection guide, 0°, left;AiO 1.5 Inset
PE94042002;9404-2002;Tibial resection guide, 0°, right;AiO 1.5 Inset
PE94041103;9404-1103;Tibial insert trial handle;AiO 1.5 Inset
PE94041102;9404-1102;Tibial baseplate trial handle;AiO 1.5 Inset
PE94042101;9404-2101;Tibial EM alignment guide;AiO 1.5 Inset
PE94042003;9404-2003;Tibial drill guide;AiO 1.5 Inset
