Emoji;Python;Elasticsearch;Java;C#_with_surrogate;C#_without_surrogate
👩‍👩‍👧‍👧;7;11;11;11;7
👩‍👩‍👧‍👦;7;11;11;11;7
👩‍👩‍👦‍👦;7;11;11;11;7
👨‍👩‍👧‍👧;7;11;11;11;7
👨‍👩‍👧‍👦;7;11;11;11;7
👨‍👩‍👦‍👦;7;11;11;11;7
👨‍👨‍👧‍👧;7;11;11;11;7
👨‍👨‍👧‍👦;7;11;11;11;7
👨‍👨‍👦‍👦;7;11;11;11;7
👩‍👩‍👧;5;8;8;8;5
👩‍👩‍👦;5;8;8;8;5
👩‍👧‍👧;5;8;8;8;5
👩‍👧‍👦;5;8;8;8;5
👩‍👦‍👦;5;8;8;8;5
👨‍👩‍👧;5;8;8;8;5
👨‍👨‍👧;5;8;8;8;5
👨‍👨‍👦;5;8;8;8;5
👨‍👧‍👧;5;8;8;8;5
👨‍👧‍👦;5;8;8;8;5
👨‍👦‍👦;5;8;8;8;5
👩‍👧;3;5;5;5;3
👩‍👦;3;5;5;5;3
👨‍👧;3;5;5;5;3
👨‍👦;3;5;5;5;3
😂;1;2;2;2;1
❤️;2;2;2;2;2
♥️;2;2;2;2;2
😍;1;2;2;2;1
😭;1;2;2;2;1
😊;1;2;2;2;1
😒;1;2;2;2;1
😘;1;2;2;2;1
💕;1;2;2;2;1
☺️;2;2;2;2;2
😩;1;2;2;2;1
👌🏿;2;4;4;4;2
👌🏾;2;4;4;4;2
👌🏽;2;4;4;4;2
👌🏼;2;4;4;4;2
👌🏻;2;4;4;4;2
👌;1;2;2;2;1
😔;1;2;2;2;1
😏;1;2;2;2;1
😁;1;2;2;2;1
♻;1;1;1;1;1
😉;1;2;2;2;1
👍🏿;2;4;4;4;2
👍🏾;2;4;4;4;2
👍🏽;2;4;4;4;2
👍🏼;2;4;4;4;2
👍🏻;2;4;4;4;2
👍;1;2;2;2;1
🙏🏿;2;4;4;4;2
🙏🏾;2;4;4;4;2
🙏🏽;2;4;4;4;2
🙏🏼;2;4;4;4;2
🙏🏻;2;4;4;4;2
🙏;1;2;2;2;1
😌;1;2;2;2;1
🎶;1;2;2;2;1
😳;1;2;2;2;1
🙌🏿;2;4;4;4;2
🙌🏾;2;4;4;4;2
🙌🏽;2;4;4;4;2
🙌🏼;2;4;4;4;2
🙌🏻;2;4;4;4;2
🙌;1;2;2;2;1
🙈;1;2;2;2;1
😢;1;2;2;2;1
😎;1;2;2;2;1
✌🏿;2;3;3;3;2
✌🏾;2;3;3;3;2
✌🏽;2;3;3;3;2
✌🏼;2;3;3;3;2
✌🏻;2;3;3;3;2
✌️;2;2;2;2;2
👀;1;2;2;2;1
😅;1;2;2;2;1
✨;1;1;1;1;1
😴;1;2;2;2;1
😄;1;2;2;2;1
💜;1;2;2;2;1
💔;1;2;2;2;1
💯;1;2;2;2;1
😑;1;2;2;2;1
💖;1;2;2;2;1
💙;1;2;2;2;1
😕;1;2;2;2;1
💁🏿‍♂;4;6;6;6;4
💁🏾‍♂;4;6;6;6;4
💁🏽‍♂;4;6;6;6;4
💁🏼‍♂;4;6;6;6;4
💁🏻‍♂;4;6;6;6;4
💁‍♂;3;4;4;4;3
💁🏿;2;4;4;4;2
💁🏾;2;4;4;4;2
💁🏽;2;4;4;4;2
💁🏼;2;4;4;4;2
💁🏻;2;4;4;4;2
💁;1;2;2;2;1
😜;1;2;2;2;1
😞;1;2;2;2;1
😋;1;2;2;2;1
😐;1;2;2;2;1
😪;1;2;2;2;1
👏🏿;2;4;4;4;2
👏🏾;2;4;4;4;2
👏🏽;2;4;4;4;2
👏🏼;2;4;4;4;2
👏🏻;2;4;4;4;2
👏;1;2;2;2;1
💘;1;2;2;2;1
💗;1;2;2;2;1
💞;1;2;2;2;1
⬅️;2;2;2;2;2
🙊;1;2;2;2;1
✋🏿;2;3;3;3;2
✋🏾;2;3;3;3;2
✋🏽;2;3;3;3;2
✋🏼;2;3;3;3;2
✋🏻;2;3;3;3;2
✋;1;1;1;1;1
💋;1;2;2;2;1
👉🏿;2;4;4;4;2
👉🏾;2;4;4;4;2
👉🏽;2;4;4;4;2
👉🏼;2;4;4;4;2
👉🏻;2;4;4;4;2
👉;1;2;2;2;1
🌸;1;2;2;2;1
😱;1;2;2;2;1
🔥;1;2;2;2;1
😡;1;2;2;2;1
😃;1;2;2;2;1
🎉;1;2;2;2;1
👊🏿;2;4;4;4;2
👊🏾;2;4;4;4;2
👊🏽;2;4;4;4;2
👊🏼;2;4;4;4;2
👊🏻;2;4;4;4;2
👊;1;2;2;2;1
😫;1;2;2;2;1
📷;1;2;2;2;1
🌹;1;2;2;2;1
😝;1;2;2;2;1
💪🏿;2;4;4;4;2
💪🏾;2;4;4;4;2
💪🏽;2;4;4;4;2
💪🏼;2;4;4;4;2
💪🏻;2;4;4;4;2
💪;1;2;2;2;1
💀;1;2;2;2;1
☀️;2;2;2;2;2
💛;1;2;2;2;1
😤;1;2;2;2;1
🌚;1;2;2;2;1
😆;1;2;2;2;1
😓;1;2;2;2;1
👈🏿;2;4;4;4;2
👈🏾;2;4;4;4;2
👈🏽;2;4;4;4;2
👈🏼;2;4;4;4;2
👈🏻;2;4;4;4;2
👈;1;2;2;2;1
✔️;2;2;2;2;2
😻;1;2;2;2;1
😀;1;2;2;2;1
😷;1;2;2;2;1
💚;1;2;2;2;1
👋🏿;2;4;4;4;2
👋🏾;2;4;4;4;2
👋🏽;2;4;4;4;2
👋🏼;2;4;4;4;2
👋🏻;2;4;4;4;2
👋;1;2;2;2;1
😣;1;2;2;2;1
💓;1;2;2;2;1
▶️;2;2;2;2;2
◀️;2;2;2;2;2
↪️;2;2;2;2;2
↩️;2;2;2;2;2
👑;1;2;2;2;1
😚;1;2;2;2;1
😛;1;2;2;2;1
😥;1;2;2;2;1
😇;1;2;2;2;1
🎧;1;2;2;2;1
✅;1;1;1;1;1
😖;1;2;2;2;1
➡;1;1;1;1;1
😠;1;2;2;2;1
😬;1;2;2;2;1
🌟;1;2;2;2;1
🔫;1;2;2;2;1
🙋🏿‍♂;4;6;6;6;4
🙋🏾‍♂;4;6;6;6;4
🙋🏽‍♂;4;6;6;6;4
🙋🏼‍♂;4;6;6;6;4
🙋🏻‍♂;4;6;6;6;4
🙋‍♂;3;4;4;4;3
🙋🏿;2;4;4;4;2
🙋🏾;2;4;4;4;2
🙋🏽;2;4;4;4;2
🙋🏼;2;4;4;4;2
🙋🏻;2;4;4;4;2
🙋;1;2;2;2;1
👎🏿;2;4;4;4;2
👎🏾;2;4;4;4;2
👎🏽;2;4;4;4;2
👎🏼;2;4;4;4;2
👎🏻;2;4;4;4;2
👎;1;2;2;2;1
💃🏿;2;4;4;4;2
💃🏾;2;4;4;4;2
💃🏽;2;4;4;4;2
💃🏼;2;4;4;4;2
💃🏻;2;4;4;4;2
💃;1;2;2;2;1
🎵;1;2;2;2;1
😶;1;2;2;2;1
💫;1;2;2;2;1
✊🏿;2;3;3;3;2
✊🏾;2;3;3;3;2
✊🏽;2;3;3;3;2
✊🏼;2;3;3;3;2
✊🏻;2;3;3;3;2
✊;1;1;1;1;1
👇🏿;2;4;4;4;2
👇🏾;2;4;4;4;2
👇🏽;2;4;4;4;2
👇🏼;2;4;4;4;2
👇🏻;2;4;4;4;2
👇;1;2;2;2;1
🔴;1;2;2;2;1
🙅🏿‍♂;4;6;6;6;4
🙅🏾‍♂;4;6;6;6;4
🙅🏽‍♂;4;6;6;6;4
🙅🏼‍♂;4;6;6;6;4
🙅🏻‍♂;4;6;6;6;4
🙅‍♂;3;4;4;4;3
🙅🏿;2;4;4;4;2
🙅🏾;2;4;4;4;2
🙅🏽;2;4;4;4;2
🙅🏼;2;4;4;4;2
🙅🏻;2;4;4;4;2
🙅;1;2;2;2;1
💥;1;2;2;2;1
©️;2;2;2;2;2
💭;1;2;2;2;1
👅;1;2;2;2;1
💩;1;2;2;2;1
😰;1;2;2;2;1
💎;1;2;2;2;1
🙆🏿‍♂;4;6;6;6;4
🙆🏾‍♂;4;6;6;6;4
🙆🏽‍♂;4;6;6;6;4
🙆🏼‍♂;4;6;6;6;4
🙆🏻‍♂;4;6;6;6;4
🙆‍♂;3;4;4;4;3
🙆🏿;2;4;4;4;2
🙆🏾;2;4;4;4;2
🙆🏽;2;4;4;4;2
🙆🏼;2;4;4;4;2
🙆🏻;2;4;4;4;2
🙆;1;2;2;2;1
🍕;1;2;2;2;1
😹;1;2;2;2;1
🌞;1;2;2;2;1
🍃;1;2;2;2;1
💦;1;2;2;2;1
🐧;1;2;2;2;1
💤;1;2;2;2;1
🚶🏿‍♀;4;6;6;6;4
🚶🏾‍♀;4;6;6;6;4
🚶🏽‍♀;4;6;6;6;4
🚶🏼‍♀;4;6;6;6;4
🚶🏻‍♀;4;6;6;6;4
🚶‍♀;3;4;4;4;3
🚶🏿;2;4;4;4;2
🚶🏾;2;4;4;4;2
🚶🏽;2;4;4;4;2
🚶🏼;2;4;4;4;2
🚶🏻;2;4;4;4;2
🚶;1;2;2;2;1
✈️;2;2;2;2;2
🎈;1;2;2;2;1
⭐;1;1;1;1;1
🎀;1;2;2;2;1
☑️;2;2;2;2;2
😟;1;2;2;2;1
🔞;1;2;2;2;1
😨;1;2;2;2;1
🍀;1;2;2;2;1
🌺;1;2;2;2;1
🎤;1;2;2;2;1
👐🏿;2;4;4;4;2
👐🏾;2;4;4;4;2
👐🏽;2;4;4;4;2
👐🏼;2;4;4;4;2
👐🏻;2;4;4;4;2
👐;1;2;2;2;1
👻;1;2;2;2;1
🌴;1;2;2;2;1
‼️;2;2;2;2;2
💅🏿;2;4;4;4;2
💅🏾;2;4;4;4;2
💅🏽;2;4;4;4;2
💅🏼;2;4;4;4;2
💅🏻;2;4;4;4;2
💅;1;2;2;2;1
❌;1;1;1;1;1
👽;1;2;2;2;1
🙇🏿‍♀;4;6;6;6;4
🙇🏾‍♀;4;6;6;6;4
🙇🏽‍♀;4;6;6;6;4
🙇🏼‍♀;4;6;6;6;4
🙇🏻‍♀;4;6;6;6;4
🙇‍♀;3;4;4;4;3
🙇🏿;2;4;4;4;2
🙇🏾;2;4;4;4;2
🙇🏽;2;4;4;4;2
🙇🏼;2;4;4;4;2
🙇🏻;2;4;4;4;2
🙇;1;2;2;2;1
☁;1;1;1;1;1
⚽;1;1;1;1;1
👼🏿;2;4;4;4;2
👼🏾;2;4;4;4;2
👼🏽;2;4;4;4;2
👼🏼;2;4;4;4;2
👼🏻;2;4;4;4;2
👼;1;2;2;2;1
👯‍♂;3;4;4;4;3
👯;1;2;2;2;1
❗;1;1;1;1;1
❄️;2;2;2;2;2
☝🏿;2;3;3;3;2
☝🏾;2;3;3;3;2
☝🏽;2;3;3;3;2
☝🏼;2;3;3;3;2
☝🏻;2;3;3;3;2
☝️;2;2;2;2;2
😙;1;2;2;2;1
🌈;1;2;2;2;1
🌙;1;2;2;2;1
💟;1;2;2;2;1
💝;1;2;2;2;1
🎁;1;2;2;2;1
🍻;1;2;2;2;1
😧;1;2;2;2;1
🌍;1;2;2;2;1
🎥;1;2;2;2;1
⚓;1;1;1;1;1
⚡;1;1;1;1;1
♣️;2;2;2;2;2
✖️;2;2;2;2;2
🏃🏿‍♀;4;6;6;6;4
🏃🏾‍♀;4;6;6;6;4
🏃🏽‍♀;4;6;6;6;4
🏃🏼‍♀;4;6;6;6;4
🏃🏻‍♀;4;6;6;6;4
🏃‍♀;3;4;4;4;3
🏃🏿;2;4;4;4;2
🏃🏾;2;4;4;4;2
🏃🏽;2;4;4;4;2
🏃🏼;2;4;4;4;2
🏃🏻;2;4;4;4;2
🏃;1;2;2;2;1
🌻;1;2;2;2;1
🌎;1;2;2;2;1
💐;1;2;2;2;1
🐶;1;2;2;2;1
💰;1;2;2;2;1
🌿;1;2;2;2;1
👫;1;2;2;2;1
🍂;1;2;2;2;1
🌷;1;2;2;2;1
🎂;1;2;2;2;1
🐱;1;2;2;2;1
☕;1;1;1;1;1
😵;1;2;2;2;1
👆🏿;2;4;4;4;2
👆🏾;2;4;4;4;2
👆🏽;2;4;4;4;2
👆🏼;2;4;4;4;2
👆🏻;2;4;4;4;2
👆;1;2;2;2;1
😮;1;2;2;2;1
